filename,genre,tempo,chroma_mean,chroma_var,rms_mean,rms_var,cent_mean,cent_var,rolloff_mean,rolloff_var,zcr_mean,zcr_var,bw_mean,bw_var,mfcc_1_mean,mfcc_1_var,mfcc_2_mean,mfcc_2_var,mfcc_3_mean,mfcc_3_var,mfcc_4_mean,mfcc_4_var,mfcc_5_mean,mfcc_5_var,mfcc_6_mean,mfcc_6_var,mfcc_7_mean,mfcc_7_var,mfcc_8_mean,mfcc_8_var,mfcc_9_mean,mfcc_9_var,mfcc_10_mean,mfcc_10_var,mfcc_11_mean,mfcc_11_var,mfcc_12_mean,mfcc_12_var,mfcc_13_mean,mfcc_13_var,mfcc_14_mean,mfcc_14_var,mfcc_15_mean,mfcc_15_var,mfcc_16_mean,mfcc_16_var,mfcc_17_mean,mfcc_17_var,mfcc_18_mean,mfcc_18_var,mfcc_19_mean,mfcc_19_var,mfcc_20_mean,mfcc_20_var
aug_pitch_B.B. King - The Thrill Is Gone ( 1969 ) HD.mp3.wav,blues,[89.10290948],0.27946112,0.09044832,0.12115136,0.0028848136,1192.8307779624129,425531.19388451515,2392.7688645873645,1848428.0147164378,0.06541154702012383,0.0030769032621380467,1500.895766344814,279699.1009548165,-216.47408,13728.105,135.49138,2127.5015,-8.619623,471.61014,44.8617,410.83765,11.048199,223.76373,16.129997,91.69457,3.22933,110.14038,2.5870094,62.745487,-5.642778,78.57914,-1.1514844,89.42393,-1.2060812,146.98074,-2.0983706,83.383675,-9.738713,81.388016,-2.4570386,63.793705,-6.647564,48.88499,-6.2031093,55.994347,-2.5647829,50.995163,-2.1393156,52.71755,-3.4571946,79.36316,2.9244387,60.296803
aug_pitch_Blues Delight - If I Had Money.mp3.wav,blues,[135.99917763],0.29250288,0.09690258,0.070534565,0.0024369254,1428.7968081514316,664828.9374266443,2967.2820572513547,3608094.431227936,0.06183106980456656,0.002092304826668313,1730.7241446256014,476045.1492817826,-267.38556,11946.371,117.92125,1088.8901,6.9451756,1696.8799,32.070004,211.55916,-0.013411295,353.87418,0.9865942,281.46542,-4.0216804,122.523415,1.1019981,175.84206,-3.2294734,180.1379,-8.002959,141.23376,1.7276326,89.79379,0.7908939,77.47815,-8.883437,76.378105,-5.5693746,90.65568,-3.5084345,76.08925,-6.654086,75.9338,-4.1978483,49.513878,4.644551,91.625595,-1.0014223,114.9123,-2.0689812,132.30356
aug_pitch_Chris Stapleton - Tennessee Whiskey (Official Audio).mp3.wav,blues,[151.99908088],0.3285665,0.10312928,0.059823133,0.00086540176,1738.3418714624302,696847.990750478,3784.2854502769446,4237772.15237429,0.05565121299342105,0.0023950476958772273,2252.39882168602,308095.930333684,-259.1638,8511.303,103.44269,1007.3636,11.008751,803.12604,27.77597,153.26326,12.071247,224.54054,15.718874,117.24103,0.36619303,104.00576,7.5306334,77.18545,1.623734,86.428696,9.438468,72.215004,0.6044321,72.92399,4.44238,47.79937,-4.480841,38.872112,-2.5306022,44.226067,-7.0217824,50.930927,-2.094475,64.08674,-2.760736,59.73791,-0.3842101,59.18028,-4.593472,57.803062,-2.4611201,45.52383
aug_pitch_Going Down - Freddie King.mp3.wav,blues,[83.35433468],0.28873143,0.10073021,0.10301796,0.0008258577,2818.2449907291734,654719.6886213936,5960.730622944079,1667820.7125494473,0.14450366135352166,0.01235686826177924,2689.8152762956393,95382.25918927856,-112.411835,6646.4854,67.391685,534.5957,0.5734268,237.14331,29.224548,119.60123,8.3553295,92.86221,12.239735,57.133465,-3.744994,58.637432,5.835121,57.253956,-3.5779073,43.418037,2.960623,39.958103,-3.950583,34.954517,2.621477,50.417175,-5.1247787,50.132927,-1.0184952,35.251663,-7.5743647,38.745216,-2.63134,59.300514,-8.250463,46.01421,-2.1752517,45.447205,-5.5948696,53.026592,-2.907161,50.489063
aug_pitch_Jack Mercer - Prison Blues  Whiskey Blues Guitar  Chicago Soul Blues  Slow Blues Ballad.mp3.wav,blues,[123.046875],0.26258513,0.10015346,0.053310405,0.0014294808,1432.263993968314,932198.2261294981,2834.8745245682567,5165392.53062,0.0574611037877322,0.0038826072512488903,1803.53982993149,429954.94852604327,-336.9692,11069.144,98.1839,1505.4412,14.474212,1487.975,28.6445,351.2523,3.3472095,423.1373,3.6735492,398.2533,-1.4950374,319.41528,0.37302724,176.06297,-1.5466429,153.20653,-6.4520926,172.3368,-3.7721457,154.86942,2.9279578,266.50098,-0.8377937,198.02776,1.4306537,133.89343,2.9231029,114.84735,1.1609415,102.97538,-5.687188,131.3692,-3.1350229,120.11144,-5.0253496,57.10671,-4.635287,85.15455
aug_pitch_Muddy Waters - Mannish Boy (Audio).mp3.wav,blues,[135.99917763],0.21267916,0.09314827,0.035586122,0.0011263189,2250.905619170469,763654.527738995,4253.524279520608,3031199.573890917,0.11939421379160217,0.00425517716205782,1951.2318253454152,499366.93592877063,-349.91675,17515.088,59.525173,912.64667,-35.677258,1371.7129,21.763714,344.30063,-16.05228,617.0469,2.1610787,155.2252,-6.777398,333.18875,-2.3848546,183.72977,-11.503667,171.57431,-2.8992958,148.01851,-6.236429,167.11111,-0.93746483,121.67311,-5.620549,103.491875,1.7691835,137.83557,4.458031,196.67163,1.715959,100.812256,-3.9046044,80.089874,-4.985428,118.52334,-0.75862366,125.08581,-1.0437452,215.99202
aug_pitch_Otis Rush - All Your Love (I Miss Loving).mp3.wav,blues,[123.046875],0.296936,0.09144385,0.14715527,0.001210238,2244.7585882314884,347507.6287004203,4393.440100135449,875136.6563047351,0.12747579757643188,0.003364263413225031,2073.26887729905,65170.61757414064,-73.94697,3127.1843,93.70475,816.6157,-24.261686,287.61295,49.850506,262.87314,-12.751421,134.95213,2.9056041,90.54369,-7.126531,81.734245,-0.4841085,95.397484,-3.643598,54.637093,-0.26847324,64.40638,-4.4409504,82.26662,2.5591075,68.531265,-9.058113,94.24901,-0.91687644,65.97147,-8.726499,47.139698,-4.608957,54.486015,-5.681445,65.53456,1.0355058,50.360962,-2.3332462,70.16162,-2.7700956,59.330338
aug_speed_Albert King - Born Under A Bad Sign.mp3.wav,blues,[95.703125],0.33863074,0.08434197,0.10094219,0.0012242919,2147.9013478064026,334958.1423088466,4264.477280607441,1340608.2615134297,0.11594810858611564,0.0022192920071954572,2165.115757495552,155216.3038616257,-110.36166,6351.892,98.4767,737.52466,-18.607697,261.87146,33.295666,224.52072,-3.0316937,173.86365,6.724626,97.37327,-4.9776015,67.78631,-0.40786496,86.952805,-4.574681,44.26441,0.2238949,55.788536,-5.292776,62.6127,1.9499383,47.61027,-6.068693,40.761215,2.077433,35.888077,-5.034095,31.868217,-0.45471793,36.506474,-2.3882003,35.225163,1.5280762,40.966335,-3.2786567,33.88588,-2.0994148,40.491432
aug_speed_B.B. King - The Thrill Is Gone ( 1969 ) HD.mp3.wav,blues,[83.35433468],0.2985106,0.09490389,0.11707052,0.003126278,1087.0575961702375,380341.20599057793,2155.795297534104,1635245.1294969374,0.058183699569465945,0.002580347045497503,1427.657411570391,270251.59315960476,-229.82957,13429.186,139.55505,2246.3643,-8.716419,511.7557,40.78096,376.00537,15.090651,245.61053,16.85843,112.31959,7.522417,124.814545,6.335059,63.055813,-0.831616,88.96016,-2.1364539,66.45841,-1.547431,114.38908,2.1778152,119.126526,-5.1625366,72.756195,-4.06906,46.65123,-2.6492627,62.785633,-5.304335,54.65902,-6.789256,41.743134,-0.124142624,58.511623,-5.1803126,46.444454,-3.0760858,100.922874
aug_speed_Blues Delight - If I Had Money.mp3.wav,blues,[143.5546875],0.3060004,0.09814132,0.06953374,0.0024012402,1362.3662038731577,655239.9309329258,2795.0720517497416,3637258.9839476813,0.05988830061983471,0.0021986395511037053,1659.8725441944393,512737.8683248184,-272.83466,11993.774,121.37612,1225.9149,5.774569,1713.5641,32.484215,212.64587,6.190423,370.8939,1.6700232,244.1222,-2.4258838,97.162125,-0.36272728,177.6441,0.88531905,107.16569,-7.799222,189.51743,-5.3952456,97.86713,3.3520658,89.70621,-5.105372,73.462395,-7.095308,93.70611,-4.3516016,63.565018,-0.92387414,65.28297,-9.090983,56.683315,-2.4016325,62.830566,2.7743602,69.57678,1.0810221,101.67767
aug_speed_Chris Stapleton - Tennessee Whiskey (Official Audio).mp3.wav,blues,[151.99908088],0.34617963,0.106169954,0.06712381,0.0010417239,1591.585702005351,610855.0407286065,3448.237482313032,3812235.474269554,0.047784669480456655,0.0018779140418432056,2130.992437872102,307521.2463629468,-257.6416,9295.719,108.7835,1100.0707,10.890082,789.1773,30.610167,146.06802,10.260664,196.39587,20.151516,131.22012,1.9897276,136.47386,10.01004,67.59297,0.78107154,73.48325,10.287751,72.48506,3.6600702,62.12439,6.8301916,68.630745,-0.4508465,40.604713,0.1410636,31.469318,-5.2422304,52.594078,-3.9682548,45.39289,-5.192429,38.63549,-0.02587163,64.525154,-2.571274,54.346222,-0.4348516,43.219887
aug_speed_Going Down - Freddie King.mp3.wav,blues,[86.1328125],0.29051098,0.091292955,0.10097557,0.0008489421,2677.5503279942477,629149.8643162213,5653.0186079124705,1646494.7676559326,0.13852107091725907,0.011129354835670756,2591.4559773653523,92119.84841948548,-114.32131,6409.3213,72.8286,582.1257,-2.875221,193.21005,29.412964,104.97057,6.8962636,100.51789,16.915895,64.214,-3.0309937,53.798832,8.084668,40.89668,-2.6037796,43.618916,4.4006467,36.59689,-4.203482,34.05485,3.4087176,32.8283,-2.4894314,52.198692,1.8406479,39.028492,-4.350533,42.234398,-1.3177359,35.037468,-6.4787393,45.97402,-3.748181,42.716152,-5.1510963,41.70966,-2.9240854,58.956055
aug_speed_Jack Mercer - Prison Blues  Whiskey Blues Guitar  Chicago Soul Blues  Slow Blues Ballad.mp3.wav,blues,[112.34714674],0.27142718,0.097901314,0.04569739,0.0012669772,1437.513757630069,998830.0018415177,2796.408090502854,5283798.417536161,0.056730571546052634,0.004312075726737683,1817.0965871812657,437559.0116054419,-353.7465,11674.009,101.46856,1567.5164,12.741149,1579.5758,28.543964,325.7801,5.353433,324.38336,2.7574553,325.33563,-2.0409355,278.87436,-1.939729,203.10628,0.22833781,128.93266,-3.5837145,189.37778,-7.375362,141.75345,-1.2705925,200.98936,-0.4929442,195.69125,-0.41494766,147.77148,0.6028927,131.18596,4.489252,148.38768,0.34675953,85.09415,-3.0633712,118.46739,-2.6226573,145.13266,-5.5479527,71.14638
aug_speed_Muddy Waters - Mannish Boy (Audio).mp3.wav,blues,[123.046875],0.21953385,0.09401172,0.034804054,0.0010009432,2123.448296936685,793678.9555139295,4015.925716246614,3178734.4746388015,0.10868188249806501,0.004008688171670712,1899.2557531331072,533918.233018041,-350.51144,17464.996,67.57577,1068.042,-35.884396,1437.624,23.655151,330.92322,-13.681801,596.79675,0.19652796,181.44688,-5.9926963,249.03897,-2.0562384,208.80907,-8.703502,165.93936,-5.313206,114.082054,-5.7805967,152.72,-3.5232425,112.96363,-4.0783772,100.79434,-7.902637,78.379295,-0.883735,112.17206,2.3327916,175.4183,2.3354437,137.65138,-1.646165,115.532166,-3.3675957,98.44636,-0.6766645,127.89129
aug_speed_Otis Rush - All Your Love (I Miss Loving).mp3.wav,blues,[123.046875],0.30351216,0.08800617,0.15169802,0.001178818,2029.058466022151,274183.11037437845,3937.901188050261,709569.5943974219,0.11307830338138544,0.0025775125898037103,1949.1915120489227,52767.922117541704,-77.7376,3133.629,104.042305,793.4721,-30.221964,259.04727,50.622086,198.80731,-4.082136,182.17622,1.6613721,107.85032,-4.699976,72.45795,-2.1080606,77.4813,-4.782238,51.353153,-0.38667318,67.36902,-7.3469133,82.520134,3.1009555,72.57393,-4.081246,57.59415,-2.0575871,57.6931,-3.7698302,58.39203,-4.0399356,41.46354,-7.2778788,55.542843,-3.3677294,54.715515,-2.992143,47.96915,2.3402305,61.519234
B.B. King - The Thrill Is Gone ( 1969 ) HD.mp3,blues,[89.10290948],0.3187714,0.095933065,0.1898195,0.004114967,1175.6041714425878,313066.4822395514,2255.819692700271,1606318.6535629912,0.05397132897155573,0.0012542883251631313,1561.3809910907296,173567.63663830748,-155.26436,5443.35,151.20532,1074.0063,-4.631434,866.06445,35.126488,247.95047,14.498068,205.08136,13.203746,136.46437,1.8052976,190.55453,11.398672,145.54752,-5.5541854,126.67483,2.9379022,94.21834,1.7801521,109.970276,-0.7868441,76.725525,-1.5113193,75.23641,-2.5869763,63.085854,-4.6419415,63.64136,-2.9086008,57.614056,-5.6277704,54.6053,-2.158276,66.94806,-2.6131504,62.825333,0.33314276,106.49388
Blues Delight - If I Had Money.mp3,blues,[143.5546875],0.3548106,0.093304485,0.14883824,0.004074879,1528.2313249621695,616937.3357124004,3263.446933049536,4088488.0386837497,0.04779676313370743,0.0012382580264766493,2150.8068153241716,317690.4824459433,-166.50017,7190.3794,120.78381,1153.1345,25.667213,691.32733,33.867867,183.72156,9.797459,281.9884,15.317758,78.591385,1.5175484,76.524155,5.538934,107.49758,2.0056167,63.50128,-0.51123446,70.79711,-3.127044,65.284706,6.381496,55.208397,-3.8236122,48.453144,-3.168391,45.609055,-2.411747,49.048946,4.0268116,44.361977,-6.7915597,49.369038,1.6690667,42.215126,1.239752,49.08206,1.2813599,49.246044
Chris Stapleton - Tennessee Whiskey (Official Audio).mp3,blues,[151.99908088],0.3446232,0.09892819,0.09636279,0.0014652959,1571.723305835362,634139.5493114758,3332.0965179348877,3533189.7323853853,0.05661341428018576,0.00209068624368321,1984.966149413205,310933.28328622197,-205.4724,8025.2925,116.996544,1202.4858,5.107835,460.36035,35.86503,244.84267,6.123017,319.39725,19.385805,146.55867,1.2672328,144.8991,4.221994,89.9349,2.147385,122.55919,4.4328346,108.51155,-2.2768412,85.1734,7.583256,56.27727,0.6005845,61.696632,1.1478727,43.58261,-1.8494556,59.825768,-2.359299,51.647995,-6.787277,61.23785,0.069107294,74.3316,-3.8363185,49.57767,-0.9605418,84.63492
Going Down - Freddie King.mp3,blues,[83.35433468],0.30280396,0.09501569,0.15548205,0.0011423099,2519.451530697826,308491.07893310074,5506.9750334087175,1274031.7834810717,0.10366868529895511,0.0019613404845426757,2584.6946734811654,95104.05976929117,-65.66776,1666.1687,78.46131,405.414,-1.0523136,228.39043,31.510996,111.89806,5.525942,107.60435,15.265307,78.20848,-0.79472035,44.331806,6.706125,38.520866,-2.8545382,41.094852,5.8659163,39.233414,-2.14824,36.261486,3.6262143,43.99425,-5.3444295,61.08664,-0.44071397,41.929863,-7.379533,39.03349,-0.112265006,36.33297,-3.4120176,54.267204,-2.5093343,44.949425,-3.6742303,52.95518,-3.6107183,60.258114
Jack Mercer - Prison Blues  Whiskey Blues Guitar  Chicago Soul Blues  Slow Blues Ballad.mp3,blues,[123.046875],0.34763622,0.10870196,0.12606363,0.0030302617,1755.1216542459297,1136998.857176587,3738.410727675116,5999856.27027168,0.04931602832333591,0.0032875639364863336,2324.722799309399,328083.68191790325,-218.16989,10499.439,97.05205,1744.2148,29.10935,540.71387,23.209497,343.31577,3.8660939,352.5488,18.424118,109.064606,11.553283,198.02257,5.7119346,147.55414,7.4641633,116.67472,4.1719356,102.386185,-0.039681826,105.48873,9.378268,66.61717,5.929056,76.52762,1.1749688,85.04012,-1.41011,67.61548,4.1528373,45.75898,-0.32444328,59.09248,0.13242422,86.31997,2.654878,98.69705,0.6291845,100.837074
Muddy Waters - Mannish Boy (Audio).mp3,blues,[69.83741554],0.3514541,0.087296695,0.1407608,0.0049745515,2148.7678495182035,303515.79885812383,4048.1421881046826,1146873.1660989134,0.12477362192821208,0.0024028967206042025,2036.7001964135052,108481.52768181467,-87.201775,7331.9287,103.15198,710.3897,-38.7302,463.51083,23.817041,299.96924,-3.5375526,193.4208,8.335114,86.64903,-4.428861,80.99172,10.370123,169.04683,-5.376185,96.42288,7.0015345,87.89902,-3.6712427,71.97272,7.631735,72.177666,2.4212847,46.779545,-1.5425103,56.76703,1.946852,52.923943,2.6901026,42.28856,-1.647386,36.12656,2.442623,34.22232,-1.6355681,43.250683,0.8395214,41.604183
Otis Rush - All Your Love (I Miss Loving).mp3,blues,[123.046875],0.30528027,0.09062222,0.23296626,0.0020597859,2181.4786505613206,214600.704188021,4397.9150730759,617037.2340174087,0.11149630236551858,0.0019461089483127064,2082.6718007946906,54053.50622291784,-28.87902,1478.8492,97.87992,663.824,-23.655874,361.0501,47.584255,257.3289,-9.3334,251.82076,9.3605585,113.789764,-5.2241335,138.59624,-2.1298761,134.07607,-1.4655774,95.46116,-3.6554472,99.29677,-9.0906725,106.88922,3.8889647,86.13912,-6.5807643,90.16919,-3.3005476,89.23279,-2.6960862,71.511505,-4.3325458,91.29225,-9.166974,81.11408,-1.2813101,61.040737,-2.3297822,68.14624,-1.1001409,101.35469
aug_noise_Eine Kleine Nachtmusik - Mozart.mp3.wav,klasik,[143.5546875],0.35681367,0.1173527,0.038693342,0.00089577294,2484.7985416809797,1921356.4909537765,4855.153974881482,5843329.887431316,0.14237857972136223,0.021048895017818436,2444.949909038891,309039.108917915,-271.74097,11053.711,93.34997,2321.898,-2.9836118,295.5416,19.063807,120.83403,6.784292,63.589603,-2.512193,51.44055,-3.2160566,55.946426,0.5185795,57.407146,2.1662056,41.18475,0.13954507,45.353626,-6.1591525,95.48822,-3.1658895,137.89809,1.2295667,146.2274,3.7794156,91.07281,5.481923,78.33286,5.0653157,53.482628,-0.62318784,39.44642,-1.3515549,45.678394,0.9686303,46.34071,2.9196918,60.86352
aug_noise_Händel - Ombra Mai Fu - Best-of Classical Music.mp3.wav,klasik,[129.19921875],0.29263538,0.093663625,0.033536613,0.000384693,1934.8269527941663,757706.3871581645,3865.0266287127515,3143295.3098983257,0.08858827762190402,0.007747014692493344,2254.771341423506,225124.77660799155,-271.51898,4368.5117,113.25887,928.5675,-6.0861244,341.1728,20.380508,57.193382,9.1853895,59.7091,-0.6402405,56.468792,-1.7165807,38.14081,-3.8351295,30.908218,-2.137215,28.036741,-4.6215253,31.539837,-9.016938,37.14652,-5.7700095,33.21731,-4.0977683,43.719837,-1.9844415,38.569805,0.11126142,47.79302,-1.3381792,63.762825,-2.1982582,39.908184,-0.7259669,50.04793,-0.87070674,79.640114,0.50948673,45.33825
aug_noise_Ludwig Van Beethoven 9. Senfoni.mp3.wav,klasik,[129.19921875],0.2567728,0.08583601,0.019922538,4.2067477e-05,1183.0456797486893,344889.70232506754,1936.3049580954914,1190604.0136172995,0.05811907410990712,0.00295625437835865,1663.982297942208,77595.01521544982,-358.0338,1650.5549,158.17122,603.6333,2.013239,82.75908,8.52759,34.42968,2.5994897,37.373447,-9.731476,34.73203,-10.8054695,37.81792,-11.910992,46.094765,-8.592248,40.13346,-1.4982535,31.002981,0.365464,31.326342,1.7952344,26.459362,0.7344184,29.120504,0.5142917,29.683817,-1.3073163,29.11838,-0.5922781,30.040071,3.446282,41.749454,5.918588,56.939663,4.2852807,77.97633,4.4522333,79.85691
aug_noise_Mozart - Le nozze di Figaro - Best-of Classical Music.mp3.wav,klasik,[75.99954044],0.25045222,0.092672594,0.06670979,0.0016753128,1910.0904110394283,480302.89714669104,3567.020097384143,2381365.8127569333,0.09952320772058823,0.004650724518171015,2219.6760824295393,193717.0728292416,-202.75125,5146.3145,117.43856,717.935,-11.7765,483.29837,0.93566084,162.536,2.561483,45.342323,-4.1711025,80.402084,-8.099224,63.874626,-8.033619,65.78224,-9.537344,42.193344,-5.1944666,49.05701,-1.7032222,48.602398,-2.049059,103.924805,-4.9559,113.425285,-8.60507,56.44403,-5.486404,53.370464,0.61768806,38.928024,-2.6919773,60.979103,-1.7032278,72.90699,2.1352935,83.90309,-2.1353014,66.09338
